postal_code,city,department,insee_code,city_norm
02590,BEAUVOIS EN VERMANDOIS,AISNE,2060,beauvois en vermandois
02110,BECQUIGNY,AISNE,2061,becquigny
02400,BELLEAU,AISNE,2062,belleau
02420,BELLENGLISE,AISNE,2063,bellenglise
02200,BELLEU,AISNE,2064,belleu
02420,BELLICOURT,AISNE,2065,bellicourt
02440,BENAY,AISNE,2066,benay
02450,BERGUES SUR SAMBRE,AISNE,2067,bergues sur sambre
02250,BERLANCOURT,AISNE,2068,berlancourt
02340,BERLISE,AISNE,2069,berlise
02120,BERNOT,AISNE,2070,bernot
02290,BERNY RIVIERE,AISNE,2071,berny riviere
02820,BERRIEUX,AISNE,2072,berrieux
02190,BERRY AU BAC,AISNE,2073,berry au bac
02800,BERTAUCOURT EPOURDON,AISNE,2074,bertaucourt epourdon
02240,BERTHENICOURT,AISNE,2075,berthenicourt
02190,BERTRICOURT,AISNE,2076,bertricourt
02200,BERZY LE SEC,AISNE,2077,berzy le sec
02300,BESME,AISNE,2078,besme
02500,BESMONT,AISNE,2079,besmont
02870,BESNY ET LOIZY,AISNE,2080,besny et loizy
02300,BETHANCOURT EN VAUX,AISNE,2081,bethancourt en vaux
02210,BEUGNEUX,AISNE,2082,beugneux
02130,BEUVARDES,AISNE,2083,beuvardes
02310,BEZU LE GUERY,AISNE,2084,bezu le guery
02400,BEZU ST GERMAIN,AISNE,2085,bezu st germain
02300,BICHANCOURT,AISNE,2086,bichancourt
02290,BIEUXY,AISNE,2087,bieuxy
02860,BIEVRES,AISNE,2088,bievres
02200,BILLY SUR AISNE,AISNE,2089,billy sur aisne
02210,BILLY SUR OURCQ,AISNE,2090,billy sur ourcq
02160,BLANZY LES FISMES,AISNE,2091,blanzy les fismes
02300,BLERANCOURT,AISNE,2093,blerancourt
02400,BLESMES,AISNE,2094,blesmes
